class	Structured comment name	Definition	Frequency
symbiont-associated	host_length	The length of subject.	0.6
agriculture	host_life_stage	Description of life stage of host	0.75
host-associated	host_life_stage	Description of life stage of host	0.75
plant-associated	host_life_stage	Description of life stage of host	0.75
symbiont-associated	host_life_stage	Description of life stage of host.	0.25
agriculture	host_phenotype	Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	0.9
food-farm environment	host_phenotype	Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	0.9
host-associated	host_phenotype	Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	0.9
human-associated	host_phenotype	Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	0.9
human-gut	host_phenotype	Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	0.9
human-oral	host_phenotype	Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	0.9
human-skin	host_phenotype	Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	0.9
human-vaginal	host_phenotype	Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	0.9
plant-associated	host_phenotype	Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP	0.9
symbiont-associated	host_phenotype	Phenotype of human or other host. For phenotypic quality ontology (pato) (v 2018-03-27) terms, please see http://purl.bioontology.org/ontology/pato. For Human Phenotype Ontology (HP) (v 2018-06-13) please see http://purl.bioontology.org/ontology/HP.	0.1
host-associated	host_sex	Gender or physical sex of the host.	0.8571428571428571
human-associated	host_sex	Gender or physical sex of the host.	0.8571428571428571
human-gut	host_sex	Gender or physical sex of the host.	0.8571428571428571
human-oral	host_sex	Gender or physical sex of the host.	0.8571428571428571
human-skin	host_sex	Gender or physical sex of the host.	0.8571428571428571
human-vaginal	host_sex	Gender or physical sex of the host.	0.8571428571428571
symbiont-associated	host_sex	Physical sex of the host.	0.14285714285714285
host-associated	host_shape	Morphological shape of host	0.5
symbiont-associated	host_shape	Morphological shape of host.	0.5
symbiont-associated	host_subject_id	A unique identifier by which each subject can be referred to, de-identified.	0.14285714285714285
host-associated	host_subject_id	A unique identifier by which each subject can be referred to, de-identified. 	0.8571428571428571
human-associated	host_subject_id	A unique identifier by which each subject can be referred to, de-identified. 	0.8571428571428571
human-gut	host_subject_id	A unique identifier by which each subject can be referred to, de-identified. 	0.8571428571428571
human-oral	host_subject_id	A unique identifier by which each subject can be referred to, de-identified. 	0.8571428571428571
human-skin	host_subject_id	A unique identifier by which each subject can be referred to, de-identified. 	0.8571428571428571
human-vaginal	host_subject_id	A unique identifier by which each subject can be referred to, de-identified. 	0.8571428571428571
host-associated	host_symbiont	The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host.	0.1111111111111111
symbiont-associated	host_symbiont	The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. For cases when the specific host of the sample is a symbiont this field should refer to other organisms it is associated with. E.g.: hyperparasite species X (parasite of the parasite)	0.1111111111111111
agriculture	host_symbiont	The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. For cases when the specific host of the sample is a symbiont this field should refer to other organisms it is associated with. E.g.: hyperparasite species X (parasite of the parasite).	0.1111111111111111
human-associated	host_symbiont	The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).	0.6666666666666666
human-gut	host_symbiont	The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).	0.6666666666666666
human-oral	host_symbiont	The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).	0.6666666666666666
human-skin	host_symbiont	The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).	0.6666666666666666
human-vaginal	host_symbiont	The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).	0.6666666666666666
plant-associated	host_symbiont	The taxonomic name of the organism(s) found living in mutualistic, commensalistic, or parasitic symbiosis with the specific host. The sampled symbiont can have its own symbionts. For example, parasites may have hyperparasites (=parasites of the parasite).	0.6666666666666666
agriculture	host_taxid	NCBI taxon id of the host, e.g. 9606	0.6
host-associated	host_taxid	NCBI taxon id of the host, e.g. 9606	0.6
plant-associated	host_taxid	NCBI taxon id of the host, e.g. 9606	0.6
food-farm environment	host_taxid	NCBI taxon id of the host, e.g. 9606.	0.2
symbiont-associated	host_taxid	NCBI taxon id of the host.	0.2
agriculture	host_tot_mass	Total mass of the host at collection, the unit depends on host	0.8
host-associated	host_tot_mass	Total mass of the host at collection, the unit depends on host	0.8
human-associated	host_tot_mass	Total mass of the host at collection, the unit depends on host	0.8
human-gut	host_tot_mass	Total mass of the host at collection, the unit depends on host	0.8
human-oral	host_tot_mass	Total mass of the host at collection, the unit depends on host	0.8
human-skin	host_tot_mass	Total mass of the host at collection, the unit depends on host	0.8
human-vaginal	host_tot_mass	Total mass of the host at collection, the unit depends on host	0.8
plant-associated	host_tot_mass	Total mass of the host at collection, the unit depends on host	0.8
food-farm environment	host_tot_mass	Total mass of the host at collection, the unit depends on host.	0.2
symbiont-associated	host_tot_mass	Total mass of the host at collection, the unit depends on host.	0.2
air	humidity	Amount of water vapour in the air, at the time of sampling	0.3333333333333333
agriculture	humidity	Amount of water vapour in the air, at the time of sampling.	0.6666666666666666
food-farm environment	humidity	Amount of water vapour in the air, at the time of sampling.	0.6666666666666666
built environment	indoor_surf	Type of indoor surface	0.5
food-food production facility	indoor_surf	Type of indoor surface.	0.5
migs_ba	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	0.6875
migs_eu	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	0.6875
migs_org	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	0.6875
migs_pl	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	0.6875
migs_vi	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	0.6875
mimag	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	0.6875
mimarks_c	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	0.6875
mimarks_s	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	0.6875
mims	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	0.6875
misag	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	0.6875
miuvig	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	0.6875
food-animal and animal feed	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system.	0.3125
food-farm environment	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system.	0.3125
food-food production facility	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system.	0.3125
food-human foods	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system.	0.3125
symbiont-associated	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system.	0.3125
agriculture	library_prep_kit	Packaged kits (containing adapters, indexes, enzymes, buffers etc), tailored for specific sequencing workflows, which allow the simplified preparation of sequencing-ready libraries for small genomes, amplicons, and plasmids.	0.2
food-animal and animal feed	library_prep_kit	Packaged kits (containing adapters, indexes, enzymes, buffers etc.), tailored for specific sequencing workflows, which allow the simplified preparation of sequencing-ready libraries for small genomes, amplicons, and plasmids.	0.8
food-farm environment	library_prep_kit	Packaged kits (containing adapters, indexes, enzymes, buffers etc.), tailored for specific sequencing workflows, which allow the simplified preparation of sequencing-ready libraries for small genomes, amplicons, and plasmids.	0.8
food-food production facility	library_prep_kit	Packaged kits (containing adapters, indexes, enzymes, buffers etc.), tailored for specific sequencing workflows, which allow the simplified preparation of sequencing-ready libraries for small genomes, amplicons, and plasmids.	0.8
food-human foods	library_prep_kit	Packaged kits (containing adapters, indexes, enzymes, buffers etc.), tailored for specific sequencing workflows, which allow the simplified preparation of sequencing-ready libraries for small genomes, amplicons, and plasmids.	0.8
food-animal and animal feed	lot_number	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product within a batch. Synonym: Batch Number.  The submitter should provide lot number of the item followed by the item name for which the lot number was provided.	0.8
food-farm environment	lot_number	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product within a batch. Synonym: Batch Number.  The submitter should provide lot number of the item followed by the item name for which the lot number was provided.	0.8
food-food production facility	lot_number	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product within a batch. Synonym: Batch Number.  The submitter should provide lot number of the item followed by the item name for which the lot number was provided.	0.8
food-human foods	lot_number	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product within a batch. Synonym: Batch Number.  The submitter should provide lot number of the item followed by the item name for which the lot number was provided.	0.8
agriculture	lot_number	A distinctive alpha-numeric identification code assigned by the manufacturer or distributor to a specific quantity of manufactured material or product within a batch. Synonym: Batch Number. The submitter should provide lot number of the item followed by the item name for which the lot number was provided.	0.2
plant-associated	mechanical_damage	Information about any mechanical damage exerted on the plant; can include multiple damages and sites	0.5
food-farm environment	mechanical_damage	Information about any mechanical damage exerted on the plant; can include multiple damages and sites.	0.5
agriculture	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
air	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
host-associated	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
human-associated	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
human-gut	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
human-oral	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
human-skin	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
human-vaginal	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
hydrocarbon resources-cores	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
hydrocarbon resources-fluids/swabs	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
microbial mat/biofilm	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
miscellaneous natural or artificial environment	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
plant-associated	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
sediment	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
soil	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
wastewater/sludge	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
water	misc_param	Any other measurement performed or parameter collected, that is not listed here	0.7727272727272727
food-animal and animal feed	misc_param	Any other measurement performed or parameter collected, that is not listed here.	0.22727272727272727
food-farm environment	misc_param	Any other measurement performed or parameter collected, that is not listed here.	0.22727272727272727
food-food production facility	misc_param	Any other measurement performed or parameter collected, that is not listed here.	0.22727272727272727
food-human foods	misc_param	Any other measurement performed or parameter collected, that is not listed here.	0.22727272727272727
symbiont-associated	misc_param	Any other measurement performed or parameter collected, that is not listed here.	0.22727272727272727
human-associated	nose_throat_disord	History of nose-throat disorders; can include multiple disorders,  The terms should be chosen from the DO (Human Disease Ontology) at http://www.disease-ontology.org, lung disease (https://disease-ontology.org/?id=DOID:850), upper respiratory tract disease (https://disease-ontology.org/?id=DOID:974).	0.5
human-oral	nose_throat_disord	History of nose/mouth/teeth/throat disorders; can include multiple disorders. The terms should be chosen from the DO (Human Disease Ontology) at http://www.disease-ontology.org, nose disease (https://disease-ontology.org/?id=DOID:2825), mouth disease (https://disease-ontology.org/?id=DOID:403), tooth disease (https://disease-ontology.org/?id=DOID:1091), or upper respiratory tract disease (https://disease-ontology.org/?id=DOID:974).	0.5
agriculture	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
migs_ba	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
migs_eu	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
migs_org	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
migs_pl	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
migs_vi	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
mimag	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
mimarks_c	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
mimarks_s	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
mims	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
misag	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
miuvig	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
food-animal and animal feed	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample.	0.25
food-farm environment	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample.	0.25
food-food production facility	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample.	0.25
food-human foods	nucl_acid_ext	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample.	0.25
agriculture	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
air	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
built environment	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
host-associated	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
human-associated	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
human-gut	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
human-oral	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
human-skin	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
human-vaginal	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
hydrocarbon resources-cores	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
hydrocarbon resources-fluids/swabs	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
microbial mat/biofilm	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
miscellaneous natural or artificial environment	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
plant-associated	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
sediment	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
wastewater/sludge	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
water	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
symbiont-associated	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr).	0.045454545454545456
food-animal and animal feed	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	0.18181818181818182
food-farm environment	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	0.18181818181818182
food-food production facility	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	0.18181818181818182
food-human foods	organism_count	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	0.18181818181818182
agriculture	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
air	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
host-associated	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
human-associated	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
human-gut	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
human-oral	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
human-skin	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
human-vaginal	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
hydrocarbon resources-cores	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
hydrocarbon resources-fluids/swabs	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
microbial mat/biofilm	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
miscellaneous natural or artificial environment	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
plant-associated	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
sediment	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
wastewater/sludge	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
water	oxy_stat_samp	Oxygenation status of sample	0.9411764705882353
symbiont-associated	oxy_stat_samp	Oxygenation status of sample.	0.058823529411764705
agriculture	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
air	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
host-associated	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
human-associated	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
human-gut	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
human-oral	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
human-skin	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
human-vaginal	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
microbial mat/biofilm	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
miscellaneous natural or artificial environment	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
plant-associated	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
sediment	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
wastewater/sludge	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
water	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	0.7777777777777778
food-animal and animal feed	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types.	0.2222222222222222
food-farm environment	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types.	0.2222222222222222
food-human foods	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types.	0.2222222222222222
symbiont-associated	perturbation	Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types.	0.2222222222222222
hydrocarbon resources-cores	ph	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	0.8888888888888888
hydrocarbon resources-fluids/swabs	ph	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	0.8888888888888888
microbial mat/biofilm	ph	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	0.8888888888888888
miscellaneous natural or artificial environment	ph	Ph measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	0.8888888888888888
