Environmental package	Structured comment name	Package item	Definition	Expected value	Value syntax	Example	Requirement	Preferred unit	Occurrence	MIXS ID	github ticket
sediment	nitro	nitrogen	Concentration of nitrogen (total)	measurement value	{float} {unit}	4.2 micromole per liter	X	micromole per liter	1	MIXS:0000504	
water	nitro	nitrogen	Concentration of nitrogen (total)	measurement value	{float} {unit}	4.2 micromole per liter	X	micromole per liter	1	MIXS:0000504	
microbial mat/biofilm	phosphate	phosphate	Concentration of phosphate	measurement value	{float} {unit}	0.7 micromole per liter	X	micromole per liter	1	MIXS:0000505	
miscellaneous natural or artificial environment	phosphate	phosphate	Concentration of phosphate	measurement value	{float} {unit}	0.7 micromole per liter	X	micromole per liter	1	MIXS:0000505	
sediment	phosphate	phosphate	Concentration of phosphate	measurement value	{float} {unit}	0.7 micromole per liter	X	micromole per liter	1	MIXS:0000505	
wastewater/sludge	phosphate	phosphate	Concentration of phosphate	measurement value	{float} {unit}	0.7 micromole per liter	X	micromole per liter	1	MIXS:0000505	
water	phosphate	phosphate	Concentration of phosphate	measurement value	{float} {unit}	0.7 micromole per liter	X	micromole per liter	1	MIXS:0000505	
microbial mat/biofilm	org_carb	organic carbon	Concentration of organic carbon	measurement value	{float} {unit}	1.5 microgram per liter	X	micromole per liter	1	MIXS:0000508	
miscellaneous natural or artificial environment	org_carb	organic carbon	Concentration of organic carbon	measurement value	{float} {unit}	1.5 microgram per liter	X	micromole per liter	1	MIXS:0000508	
sediment	org_carb	organic carbon	Concentration of organic carbon	measurement value	{float} {unit}	1.5 microgram per liter	X	micromole per liter	1	MIXS:0000508	
water	org_carb	organic carbon	Concentration of organic carbon	measurement value	{float} {unit}	1.5 microgram per liter	X	"micromole per liter, microgram per liter"	1	MIXS:0000508	
microbial mat/biofilm	part_org_carb	particulate organic carbon	Concentration of particulate organic carbon	measurement value	{float} {unit}	1.92 micromole per liter	X	microgram per liter	1	MIXS:0000515	
sediment	part_org_carb	particulate organic carbon	Concentration of particulate organic carbon	measurement value	{float} {unit}	1.92 micromole per liter	X	microgram per liter	1	MIXS:0000515	
water	part_org_carb	particulate organic carbon	Concentration of particulate organic carbon	measurement value	{float} {unit}	1.92 micromole per liter	X	"microgram per liter, micromole per liter"	1	MIXS:0000515	
microbial mat/biofilm	petroleum_hydrocarb	petroleum hydrocarbon	Concentration of petroleum hydrocarbon	measurement value	{float} {unit}	0.05 micromole per liter	X	micromole per liter	1	MIXS:0000516	
sediment	petroleum_hydrocarb	petroleum hydrocarbon	Concentration of petroleum hydrocarbon	measurement value	{float} {unit}	0.05 micromole per liter	X	micromole per liter	1	MIXS:0000516	
water	petroleum_hydrocarb	petroleum hydrocarbon	Concentration of petroleum hydrocarbon	measurement value	{float} {unit}	0.05 micromole per liter	X	micromole per liter	1	MIXS:0000516	
agriculture	tot_car	total carbon	Total carbon content	measurement value	{float} {unit}		C	"microgram per liter, micromole per liter"	1	MIXS:0000525	
microbial mat/biofilm	tot_carb	total carbon	Total carbon content	measurement value	{float} {unit}		X	microgram per liter	1	MIXS:0000525	
sediment	tot_carb	total carbon	Total carbon content	measurement value	{float} {unit}		X	microgram per liter	1	MIXS:0000525	
agriculture	tot_nitro	total nitrogen	Total nitrogen content of the sample	measurement value	{float} {unit}		C	"microgram per liter, micromole per liter"	1	MIXS:0000530	
food-farm environment	tot_nitro_content	total nitrogen content	Total nitrogen content of the sample.	measurement value	{float} {unit}	35 milligrams Nitrogen per kilogram of soil	X	milligrams Nitrogen per kilogram of soil	m	MIXS:0000530	
microbial mat/biofilm	tot_nitro_content	total nitrogen content	Total nitrogen content of the sample	measurement value	{float} {unit}		X	"microgram per liter, micromole per liter, milligram per liter"	1	MIXS:0000530	
sediment	tot_nitro_content	total nitrogen content	Total nitrogen content of the sample	measurement value	{float} {unit}		X	"microgram per liter, micromole per liter, milligram per liter"	1	MIXS:0000530	
soil	tot_nitro_content	total nitrogen content	Total nitrogen content of the sample	measurement value	{float} {unit}		X	"microgram per liter, micromole per liter, milligram per liter"	1	MIXS:0000530	
agriculture	tot_org_carb	total organic carbon	"Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content"	measurement value	{float} {unit}		C	gram Carbon per kilogram sample material	1	MIXS:0000533	
food-farm environment	tot_org_carb	total organic carbon	"Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content."	percent TOC	{percentage}	2%	X	gram Carbon per kilogram sample material	1	MIXS:0000533	
microbial mat/biofilm	tot_org_carb	total organic carbon	"Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content"	measurement value	{float} {unit}		X	gram Carbon per kilogram sample material	1	MIXS:0000533	
sediment	tot_org_carb	total organic carbon	"Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content"	measurement value	{float} {unit}		X	gram Carbon per kilogram sample material	1	MIXS:0000533	
soil	tot_org_carb	total organic carbon	"Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content"	measurement value	{float} {unit}		X	gram Carbon per kilogram sample material	1	MIXS:0000533	
plant-associated	air_temp_regm	air temperature regimen	"Information about treatment involving an exposure to varying temperatures; should include the temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include different temperature regimens"	temperature value;treatment interval and duration	{float} {unit};{Rn/start_time/end_time/duration}	25 degree Celsius;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	meter	m	MIXS:0000551	
plant-associated	antibiotic_regm	antibiotic regimen	"Information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple antibiotic regimens"	antibiotic name;antibiotic amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	penicillin;5 milligram;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	milligram	m	MIXS:0000553	
plant-associated	chem_mutagen	chemical mutagen	"Treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple mutagen regimens"	mutagen name;mutagen amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	nitrous acid;0.5 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	milligram per liter	m	MIXS:0000555	
plant-associated	fertilizer_regm	fertilizer regimen	"Information about treatment involving the use of fertilizers; should include the name of fertilizer, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple fertilizer regimens"	fertilizer name;fertilizer amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	urea;0.6 milligram per liter;R2/2018-05-11:T14:30/2018-05-11T19:30/P1H30M	X	"gram, mole per liter, milligram per liter"	m	MIXS:0000556	
agriculture	fungicide_regm	fungicide regimen	"Information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple fungicide regimens"	fungicide name;fungicide amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}		C	"gram, mole per liter, milligram per liter"	m	MIXS:0000557	
plant-associated	fungicide_regm	fungicide regimen	"Information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple fungicide regimens"	fungicide name;fungicide amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	bifonazole;1 mole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	"gram, mole per liter, milligram per liter"	m	MIXS:0000557	
agriculture	gaseous_environment	gaseous environment	"Use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens"	gaseous compound name;gaseous compound amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}		C	micromole per liter	m	MIXS:0000558	
plant-associated	gaseous_environment	gaseous environment	"Use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens"	gaseous compound name;gaseous compound amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	nitric oxide;0.5 micromole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	micromole per liter	m	MIXS:0000558	
plant-associated	gravity	gravity	"Information about treatment involving use of gravity factor to study various types of responses in presence, absence or modified levels of gravity; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple treatments"	gravity factor value;treatment interval and duration	{float} {unit};{Rn/start_time/end_time/duration}	12 g;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	"meter per square second, g"	m	MIXS:0000559	
plant-associated	growth_hormone_regm	growth hormone regimen	"Information about treatment involving use of growth hormones; should include the name of growth hormone, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple growth hormone regimens"	growth hormone name;growth hormone amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	abscisic acid;0.5 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	"gram, mole per liter, milligram per liter"	m	MIXS:0000560	
agriculture	herbicide_regm	herbicide regimen	"Information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens"	herbicide name;herbicide amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}		C	"gram, mole per liter, milligram per liter"	m	MIXS:0000561	
plant-associated	herbicide_regm	herbicide regimen	"Information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens"	herbicide name;herbicide amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	atrazine;10 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	"gram, mole per liter, milligram per liter"	m	MIXS:0000561	
plant-associated	host_wet_mass	host wet mass	Measurement of wet mass	measurement value	{float} {unit}	1500 gram	X	"kilogram, gram"	1	MIXS:0000567	
plant-associated	humidity_regm	humidity regimen	"Information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens"	humidity value;treatment interval and duration	{float} {unit};{Rn/start_time/end_time/duration}	25 gram per cubic meter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	gram per cubic meter	m	MIXS:0000568	
plant-associated	light_regm	light regimen	"Information about treatment(s) involving exposure to light, including both light intensity and quality."	exposure type;light intensity;light quality	{text};{float} {unit};{float} {unit}	incandescant light;10 lux;450 nanometer	X	"lux; micrometer, nanometer, angstrom"	1	MIXS:0000569	
plant-associated	mineral_nutr_regm	mineral nutrient regimen	"Information about treatment involving the use of mineral supplements; should include the name of mineral nutrient, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple mineral nutrient regimens"	mineral nutrient name;mineral nutrient amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	potassium;15 gram;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	"gram, mole per liter, milligram per liter"	m	MIXS:0000570	
agriculture	non_mineral_nutr_regm	non-mineral nutrient regimen	"Information about treatment involving the exposure of plant to non-mineral nutrient such as oxygen, hydrogen or carbon; should include the name of non-mineral nutrient, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple non-mineral nutrient regimens"	non-mineral nutrient name;non-mineral nutrient amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}		C	"gram, mole per liter, milligram per liter"	m	MIXS:0000571	
plant-associated	non_min_nutr_regm	non-mineral nutrient regimen	"Information about treatment involving the exposure of plant to non-mineral nutrient such as oxygen, hydrogen or carbon; should include the name of non-mineral nutrient, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple non-mineral nutrient regimens"	non-mineral nutrient name;non-mineral nutrient amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	carbon dioxide;10 mole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	"gram, mole per liter, milligram per liter"	m	MIXS:0000571	
agriculture	pesticide_regm	pesticide regimen	"Information about treatment involving use of insecticides; should include the name of pesticide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple pesticide regimens"	pesticide name;pesticide amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}		C	"gram, mole per liter, milligram per liter"	m	MIXS:0000573	
plant-associated	pesticide_regm	pesticide regimen	"Information about treatment involving use of insecticides; should include the name of pesticide, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple pesticide regimens"	pesticide name;pesticide amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	pyrethrum;0.6 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	"gram, mole per liter, milligram per liter"	m	MIXS:0000573	
plant-associated	radiation_regm	radiation regimen	"Information about treatment involving exposure of plant or a plant part to a particular radiation regimen; should include the radiation type, amount or intensity administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple radiation regimens"	radiation type name;radiation amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	gamma radiation;60 gray;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	"rad, gray"	m	MIXS:0000575	
plant-associated	rainfall_regm	rainfall regimen	"Information about treatment involving an exposure to a given amount of rainfall, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens"	measurement value;treatment interval and duration	{float} {unit};{Rn/start_time/end_time/duration}	15 millimeter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	millimeter	m	MIXS:0000576	
agriculture	root_med_carbon	rooting medium carbon	Source of organic carbon in the culture rooting medium; e.g. sucrose.	carbon source name;measurement value	{text};{float} {unit}	sucrose	X	milligram per liter	1	MIXS:0000577	
food-farm environment	root_med_carbon	rooting medium carbon	Source of organic carbon in the culture rooting medium; e.g. sucrose.	carbon source name;measurement value	{text};{float} {unit}	sucrose	X	milligram per liter	1	MIXS:0000577	
plant-associated	root_med_carbon	rooting medium carbon	Source of organic carbon in the culture rooting medium; e.g. sucrose.	carbon source name;measurement value	{text};{float} {unit}	sucrose	X	milligram per liter	1	MIXS:0000577	
agriculture	root_med_macronutr	rooting medium macronutrients	"Measurement of the culture rooting medium macronutrients (N,P, K, Ca, Mg, S); e.g. KH2PO4 (170 mg/L)."	macronutrient name;measurement value	{text};{float} {unit}	KH2PO4;170 milligram per liter	X	milligram per liter	1	MIXS:0000578	
food-farm environment	root_med_macronutr	rooting medium macronutrients	"Measurement of the culture rooting medium macronutrients (N,P, K, Ca, Mg, S); e.g. KH2PO4 (170 mg/L)."	macronutrient name;measurement value	{text};{float} {unit}	KH2PO4;170 milligram per liter	X	milligram per liter	1	MIXS:0000578	
plant-associated	root_med_macronutr	rooting medium macronutrients	"Measurement of the culture rooting medium macronutrients (N,P, K, Ca, Mg, S); e.g. KH2PO4 (170 mg/L)."	macronutrient name;measurement value	{text};{float} {unit}	KH2PO4;170 milligram per liter	X	milligram per liter	1	MIXS:0000578	
food-farm environment	root_med_micronutr	rooting medium micronutrients	"Measurement of the culture rooting medium micronutrients (Fe, Mn, Zn, B, Cu, Mo); e.g. H3BO3 (6.2 mg/L)."	micronutrient name;measurement value	{text};{float} {unit}	H3BO3;6.2 milligram per liter	X	milligram per liter	1	MIXS:0000579	
plant-associated	root_med_micronutr	rooting medium micronutrients	"Measurement of the culture rooting medium micronutrients (Fe, Mn, Zn, B, Cu, Mo); e.g. H3BO3 (6.2 mg/L)."	micronutrient name;measurement value	{text};{float} {unit}	H3BO3;6.2 milligram per liter	X	milligram per liter	1	MIXS:0000579	
plant-associated	root_med_suppl	rooting medium organic supplements	"Organic supplements of the culture rooting medium, such as vitamins, amino acids, organic acids, antibiotics activated charcoal; e.g. nicotinic acid (0.5 mg/L)."	supplement name;measurement value	{text};{float} {unit}	nicotinic acid;0.5 milligram per liter	X	milligram per liter	1	MIXS:0000580	
plant-associated	root_med_regl	rooting medium regulators	"Growth regulators in the culture rooting medium such as cytokinins, auxins, gybberellins, abscisic acid; e.g. 0.5 mg/L NAA."	regulator name;measurement value	{text};{float} {unit}	abscisic acid;0.75 milligram per liter	X	milligram per liter	1	MIXS:0000581	
agriculture	salt_regm	salt regimen	"Information about treatment involving use of salts as supplement to liquid and soil growth media; should include the name of salt, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple salt regimens"	salt name;salt amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}		C	"gram, microgram, mole per liter, gram per liter"	m	MIXS:0000582	
plant-associated	salt_regm	salt regimen	"Information about treatment involving use of salts as supplement to liquid and soil growth media; should include the name of salt, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple salt regimens"	salt name;salt amount;treatment interval and duration	{text};{float} {unit};{Rn/start_time/end_time/duration}	NaCl;5 gram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	"gram, microgram, mole per liter, gram per liter"	m	MIXS:0000582	
agriculture	water_temp_regm	water temperature regimen	"Information about treatment involving an exposure to water with varying degree of temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens"	measurement value;treatment duration;interval;experimental duration	{float} {unit};{period};{interval};{period}		C	degree Celsius	m	MIXS:0000590	
plant-associated	water_temp_regm	water temperature regimen	"Information about treatment involving an exposure to water with varying degree of temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens"	measurement value;treatment interval and duration	{float} {unit};{Rn/start_time/end_time/duration}	15 degree Celsius;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	degree Celsius	m	MIXS:0000590	
agriculture	watering_regm	watering regimen	"Information about treatment involving an exposure to watering frequencies, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens"	measurement value;treatment duration;interval;experimental duration	{float} {unit};{period};{interval};{period}		C	"milliliter, liter"	m	MIXS:0000591	
plant-associated	watering_regm	watering regimen	"Information about treatment involving an exposure to watering frequencies, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple regimens"	measurement value;treatment interval and duration	{float} {unit};{Rn/start_time/end_time/duration}	1 liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M	X	"milliliter, liter"	m	MIXS:0000591	
soil	al_sat	extreme_unusual_properties/Al saturation	Aluminum saturation (esp. For tropical soils)	measurement value	{float} {unit}		X	percentage	1	MIXS:0000607	
sediment	tot_depth_water_col	total depth of water column	Measurement of total depth of water column	measurement value	{float} {unit}	500 meter	X	meter	1	MIXS:0000634	
water	tot_depth_water_col	total depth of water column	Measurement of total depth of water column	measurement value	{float} {unit}	500 meter	X	meter	1	MIXS:0000634	
agriculture	agrochem_addition	history/agrochemical additions	"Addition of fertilizers, pesticides, etc. - amount and time of applications"	agrochemical name;agrochemical amount;timestamp	{text};{float} {unit};{timestamp}		X	"gram, mole per liter, milligram per liter"	m	MIXS:0000639	
soil	agrochem_addition	history/agrochemical additions	"Addition of fertilizers, pesticides, etc. - amount and time of applications"	agrochemical name;agrochemical amount;timestamp	{text};{float} {unit};{timestamp}	roundup;5 milligram per liter;2018-06-21	X	"gram, mole per liter, milligram per liter"	m	MIXS:0000639	
agriculture	annual_temp	mean annual temperature	Mean annual temperature	measurement value	{float} {unit}	12.5 degree Celsius	X	degree Celsius	1	MIXS:0000642	#225
soil	annual_temp	mean annual temperature	Mean annual temperature	measurement value	{float} {unit}	12.5 degree Celsius	X	degree Celsius	1	MIXS:0000642	
agriculture	season_temp	mean seasonal temperature	Mean seasonal temperature	measurement value	{float} {unit}	18 degree Celsius	X	degree Celsius	1	MIXS:0000643	#225
food-farm environment	season_temp	mean seasonal air temperature	Mean seasonal air temperature.	measurement value	{float} {unit}	18 degree Celsius	X	degree Celsius	1	MIXS:0000643	
soil	season_temp	mean seasonal temperature	Mean seasonal temperature	measurement value	{float} {unit}	18 degree Celsius	X	degree Celsius	1	MIXS:0000643	
agriculture	annual_precpt	mean annual precipitation	"The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps."	measurement value	{float} {unit}		X	millimeter	1	MIXS:0000644	#226
soil	annual_precpt	mean annual precipitation	"The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps."	measurement value	{float} {unit}		X	millimeter	1	MIXS:0000644	
agriculture	season_precpt	mean seasonal precipitation	"The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps."	measurement value	{float} {unit}		X	millimeter	1	MIXS:0000645	#226
food-farm environment	season_precpt	mean seasonal precipitation	"The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps."	measurement value	{float} {unit}	75 millimeters	X	millimeter	m	MIXS:0000645	
soil	season_precpt	mean seasonal precipitation	"The average of all seasonal precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps."	measurement value	{float} {unit}		X	millimeter	1	MIXS:0000645	
agriculture	slope_gradient	slope gradient	Commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer	measurement value	{float} {unit}		C	percentage	1	MIXS:0000646	
soil	slope_gradient	slope gradient	Commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer	measurement value	{float} {unit}		X	percentage	1	MIXS:0000646	
agriculture	slope_aspect	slope aspect	"The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., nw or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration."	measurement value	{float} {unit}		C	degree	1	MIXS:0000647	
soil	slope_aspect	slope aspect	"The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., nw or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration."	measurement value	{float} {unit}		X	degree	1	MIXS:0000647	
agriculture	microbial_biomass	microbial biomass	"The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units"	measurement value	{float} {unit}		M	"ton, kilogram, gram per kilogram soil"	1	MIXS:0000650	
soil	microbial_biomass	microbial biomass	"The part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units"	measurement value	{float} {unit}		X	"ton, kilogram, gram per kilogram soil"	1	MIXS:0000650	
soil	heavy_metals	extreme_unusual_properties/heavy metals	"Heavy metals present in the sequenced sample and their concentrations. For multiple heavy metals and concentrations, add multiple copies of this field."	heavy metal name;measurement value unit	{text};{float} {unit}	mercury;0.09 micrograms per gram	X	microgram per gram	m	MIXS:0000652	
wastewater/sludge	biochem_oxygen_dem	biochemical oxygen demand	Amount of dissolved oxygen needed by aerobic biological organisms in a body of water to break down organic material present in a given water sample at certain temperature over a specific time period	measurement value	{float} {unit}		X	milligram per liter	1	MIXS:0000653	
wastewater/sludge	chem_oxygen_dem	chemical oxygen demand	A measure of the capacity of water to consume oxygen during the decomposition of organic matter and the oxidation of inorganic chemicals such as ammonia and nitrite	measurement value	{float} {unit}		X	milligram per liter	1	MIXS:0000656	
wastewater/sludge	efficiency_percent	efficiency percent	Percentage of volatile solids removed from the anaerobic digestor	measurement value	{float} {unit}		X	micromole per liter	1	MIXS:0000657	
wastewater/sludge	emulsions	emulsions	"Amount or concentration of substances such as paints, adhesives, mayonnaise, hair colorants, emulsified oils, etc.; can include multiple emulsion types"	emulsion name;measurement value	{text};{float} {unit}		X	gram per liter	m	MIXS:0000660	
wastewater/sludge	gaseous_substances	gaseous substances	"Amount or concentration of substances such as hydrogen sulfide, carbon dioxide, methane, etc.; can include multiple substances"	gaseous substance name;measurement value	{text};{float} {unit}		X	micromole per liter	m	MIXS:0000661	
wastewater/sludge	indust_eff_percent	industrial effluent percent	Percentage of industrial effluents received by wastewater treatment plant	measurement value	{float} {unit}		X	percentage	1	MIXS:0000662	
wastewater/sludge	inorg_particles	inorganic particles	"Concentration of particles such as sand, grit, metal particles, ceramics, etc.; can include multiple particles"	inorganic particle name;measurement value	{text};{float} {unit}		X	"mole per liter, milligram per liter"	m	MIXS:0000664	
wastewater/sludge	org_particles	organic particles	"Concentration of particles such as faeces, hairs, food, vomit, paper fibers, plant material, humus, etc."	particle name;measurement value	{text};{float} {unit}		X	gram per liter	m	MIXS:0000665	
wastewater/sludge	sludge_retent_time	sludge retention time	The time activated sludge remains in reactor	measurement value	{float} {unit}		X	hours	1	MIXS:0000669	
wastewater/sludge	soluble_inorg_mat	soluble inorganic material	"Concentration of substances such as ammonia, road-salt, sea-salt, cyanide, hydrogen sulfide, thiocyanates, thiosulfates, etc."	soluble inorganic material name;measurement value	{text};{float} {unit}		X	"gram, microgram, mole per liter, gram per liter, parts per million"	m	MIXS:0000672	
wastewater/sludge	soluble_org_mat	soluble organic material	"Concentration of substances such as urea, fruit sugars, soluble proteins, drugs, pharmaceuticals, etc."	soluble organic material name;measurement value	{text};{float} {unit}		X	"gram, microgram, mole per liter, gram per liter, parts per million"	m	MIXS:0000673	
water	bac_prod	bacterial production	Bacterial production in the water column measured by isotope uptake	measurement value	{float} {unit}	5 milligram per cubic meter per day	X	milligram per cubic meter per day	1	MIXS:0000683	
water	bac_resp	bacterial respiration	Measurement of bacterial respiration in the water column	measurement value	{float} {unit}	300 micromole oxygen per liter per hour	X	"milligram per cubic meter per day, micromole oxygen per liter per hour"	1	MIXS:0000684	
agriculture	tot_phos	total phosphorous	Total amount or concentration of phosphate	measurement value	{float} {unit}		C	"microgram per liter, micromole per liter"	1	MIXS:0000689	
wastewater/sludge	tot_phosphate	total phosphate	Total amount or concentration of phosphate	measurement value	{float} {unit}		X	"microgram per liter, micromole per liter"	1	MIXS:0000689	
food-farm environment	conduc	conductivity	Electrical conductivity of water.	measurement value	{float} {unit}	10 milliSiemens per centimeter	X	milliSiemens per centimeter	1	MIXS:0000692	
water	conduc	conductivity	Electrical conductivity of water	measurement value	{float} {unit}	10 milliSiemens per centimeter	X	milliSiemens per centimeter	1	MIXS:0000692	
water	diss_inorg_nitro	dissolved inorganic nitrogen	Concentration of dissolved inorganic nitrogen	measurement value	{float} {unit}	761 micromole per liter	X	"microgram per liter, micromole per liter"	1	MIXS:0000698	
water	down_par	downward PAR	Visible waveband radiance and irradiance measurements in the water column	measurement value	{float} {unit}	28.71 microEinstein per square meter per second	X	"microEinstein per square meter per second, microEinstein per square centimeter per second"	1	MIXS:0000703	
water	fluor	fluorescence	Raw or converted fluorescence of water	measurement value	{float} {unit}	2.5 volts	X	"milligram chlorophyll a per cubic meter, volts"	1	MIXS:0000704	
water	light_intensity	light intensity	Measurement of light intensity	measurement value	{float} {unit}	0.3 lux	X	lux	1	MIXS:0000706	
