class	Structured comment name	Requirement	schemasheets cardinality	cardinality	recommended	in_subset	github ticket	Example
Agriculture	assembly_quality					packages_tab		"metaSPAdes;3.11.0;kmer set 21,33,55,77,99,121, default parameters otherwise"
Agriculture	assembly_software					packages_tab		High-quality draft genome
Agriculture	biotic_relationship	C				packages_tab	#168	
Agriculture	chem_administration	M				packages_tab		agar [CHEBI:2509];2018-05-11T20:00Z
Agriculture	chimera_check	M				packages_tab		
Agriculture	climate_environment	C				packages_tab		
Agriculture	crop_rotation	C				packages_tab		
Agriculture	crop_yield	X				packages_tab		570 kilogram per metre square
Agriculture	cult_isol_date	X				packages_tab		2/26/20
Agriculture	cur_land_use	X				packages_tab		
Agriculture	cur_vegetation	C				packages_tab		
Agriculture	cur_vegetation_meth	C				packages_tab		
Agriculture	drainage_class	C				packages_tab		
Agriculture	elev	X				packages_tab		100 meter
Agriculture	enrichment_protocol	C				packages_tab		BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria
Agriculture	extreme_event	C				packages_tab		
Agriculture	fao_class	C				packages_tab		
Agriculture	farm_equip	X				packages_tab		combine harvester [AGRO:00000473]
Agriculture	farm_equip_san	X				packages_tab		
Agriculture	farm_equip_shared	X				packages_tab		
Agriculture	farm_water_source	C				packages_tab		water well (ENVO:01000002)
Agriculture	fertilizer_admin	X				packages_tab		fish emulsion [AGRO:00000082]
Agriculture	fire	C				packages_tab		
Agriculture	flooding	C				packages_tab		
Agriculture	food_harvest_proc	X				packages_tab		
Agriculture	food_prod	X				packages_tab		organic plant cultivation [FOODON:03530253]
Agriculture	food_product_type	X				packages_tab		delicatessen salad; FOODON:03316276
Agriculture	food_source	M				packages_tab	#252	red swamp crayfish; FOODON:03412231
Agriculture	food_trav_mode	X				packages_tab	#229	train travel [GENEPIO:0001060]
Agriculture	food_trav_vehic	X				packages_tab	#229	aircraft [ENVO:01001488]|car [ENVO:01000605]
Agriculture	fungicide_regm	C				packages_tab		
Agriculture	gaseous_environment	C				packages_tab		
Agriculture	genetic_mod	X				packages_tab		aox1A transgenic
Agriculture	heavy_metals_meth	C				packages_tab		
Agriculture	herbicide_regm	C				packages_tab		
Agriculture	horizon	C				packages_tab		
Agriculture	horizon_meth	C				packages_tab		
Agriculture	host_age	M				packages_tab		
Agriculture	host_common_name	M				packages_tab		
Agriculture	host_disease_stat	C				packages_tab		downy mildew
Agriculture	host_dry_mass	X				packages_tab		500 gram
Agriculture	host_genotype	M				packages_tab		
Agriculture	host_height	M				packages_tab		
Agriculture	host_length	M				packages_tab		
Agriculture	host_life_stage	M				packages_tab		
Agriculture	host_phenotype	M				packages_tab		
Agriculture	host_spec_range	M				packages_tab		
Agriculture	host_subspecf_genlin	X				packages_tab	#227 & #256	"serovar:Newport, variety:glabrum, cultivar: Red Delicious"
Agriculture	host_symbiont	X				packages_tab	#224 & #175	Paragordius varius
Agriculture	host_taxid	M				packages_tab		9606
Agriculture	host_tot_mass	M				packages_tab		
Agriculture	humidity	C				packages_tab		30% relative humidity
Agriculture	isol_growth_condt	X				packages_tab		
Agriculture	lib_layout	C				packages_tab	#231	paired
Agriculture	lib_reads_seqd	M				packages_tab		
Agriculture	lib_screen	M				packages_tab		"enriched, screened, normalized"
Agriculture	lib_size	X				packages_tab		
Agriculture	lib_vector	M				packages_tab		
Agriculture	library_prep_kit	X				packages_tab		"llumina DNA Prep, (M) Tagmentation"
Agriculture	link_class_info	X				packages_tab		
Agriculture	link_climate_info	X				packages_tab		
Agriculture	local_class	C				packages_tab		
Agriculture	local_class_meth	C				packages_tab		
Agriculture	lot_number	X				packages_tab		"1239ABC01A, split Cornish hens"
Agriculture	microbial_biomass	M				packages_tab		
Agriculture	microbial_biomass_meth	M				packages_tab		
Agriculture	mid	M				packages_tab		
Agriculture	misc_param	X				packages_tab		
Agriculture	non_mineral_nutr_regm	C				packages_tab		
Agriculture	nucl_acid_amp	M				packages_tab		
Agriculture	nucl_acid_ext	M				packages_tab		
Agriculture	organism_count	C				packages_tab		total prokaryotes;3.5e7 cells per milliliter;qPCR
Agriculture	oxy_stat_samp	C				packages_tab		
Agriculture	pathogenicity	M				packages_tab		"human, animal, plant, fungi, bacteria"
Agriculture	pcr_cond	M				packages_tab		
Agriculture	pcr_primers	M				packages_tab		FWD: forward primer sequence REV:reverse primer sequence
Agriculture	perturbation	C				packages_tab		
Agriculture	pesticide_regm	C				packages_tab		
Agriculture	ph_meth	C				packages_tab		
Agriculture	ph_regm	C				packages_tab		
Agriculture	photosynt_activ	C				packages_tab	#223	μmol CO2 m-2 s-1
Agriculture	photosynt_activ_meth	C				packages_tab	#223	
Agriculture	plant_growth_med	X				packages_tab	#217 & #165	hydroponic plant culture media [EO:0007067]
Agriculture	plant_product	C				packages_tab		
Agriculture	plant_struc	C				packages_tab	#230	epidermis [PO:0005679]
Agriculture	plant_water_method	C				packages_tab		drip irrigation process [AGRO:00000056]
Agriculture	pool_dna_extracts	M				packages_tab		
Agriculture	porosity	X				packages_tab		
Agriculture	pres_animal_insect	X				packages_tab	"couldnt this also be covered by the ""observed host symbiont"" field?"	cat;5
Agriculture	previous_land_use	C				packages_tab		
Agriculture	previous_land_use_meth	C				packages_tab		
Agriculture	profile_position	C				packages_tab		
Agriculture	rel_location	C				packages_tab		furrow
Agriculture	root_med_carbon	X				packages_tab		sucrose
Agriculture	root_med_macronutr	X				packages_tab		KH2PO4;170¬†milligram per liter
Agriculture	root_med_ph	X				packages_tab		7.5
Agriculture	salt_regm	C				packages_tab		
Agriculture	samp_collect_device	M				packages_tab		"biopsy, niskin bottle, push core"
Agriculture	samp_collect_method	X				packages_tab		environmental swab sampling
Agriculture	samp_mat_process	M				packages_tab		"filtering of seawater, storing samples in ethanol"
Agriculture	samp_pooling	C				packages_tab		
Agriculture	samp_size	M				packages_tab		
Agriculture	samp_stor_temp	X				packages_tab		-80 degree Celsius
Agriculture	samp_store_dur	M				packages_tab		
Agriculture	samp_store_loc	M				packages_tab		
Agriculture	samp_vol_we_dna_ext	M				packages_tab		
Agriculture	season	X				packages_tab		autumn [NCIT:C94733]
Agriculture	season_environment	C				packages_tab		
Agriculture	season_humidity	X				packages_tab		25%
Agriculture	season_precpt	X				packages_tab	#226	
Agriculture	season_temp	X				packages_tab	#225	18 degree Celsius
Agriculture	seq_meth	M				packages_tab		454 Genome Sequencer FLX [OBI:0000702]
Agriculture	seq_quality_check	X				packages_tab		
Agriculture	sequencing_location	X				packages_tab		University of Maryland Genomics Resource Center
Agriculture	sieving	M				packages_tab		
Agriculture	size_frac_low	X				packages_tab		0.2 micrometer
Agriculture	size_frac_up	X				packages_tab		20 micrometer
Agriculture	slope_aspect	C				packages_tab		
Agriculture	slope_gradient	C				packages_tab		
Agriculture	soil_conductivity	X				packages_tab		
Agriculture	soil_cover	C				packages_tab		
Agriculture	soil_depth	C				packages_tab		5 cm
Agriculture	soil_horizon	C				packages_tab	#218	[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost]
Agriculture	soil_ph	X				packages_tab		
Agriculture	soil_temp	X				packages_tab		25 degrees Celsius
Agriculture	soil_type	M				packages_tab		
Agriculture	soil_type_meth	M				packages_tab		
Agriculture	solar_irradiance	X				packages_tab	#209	1.36 kilowatts per square meter per day
Agriculture	sop	X				packages_tab		
Agriculture	source_mat_id	X				packages_tab		
Agriculture	specific_host	M				packages_tab		Homo sapiens and/or 9606
Agriculture	spikein_strain	X				packages_tab	#228	169963
Agriculture	standing_water_regm	C				packages_tab		
Agriculture	store_cond	M				packages_tab		
Agriculture	target_gene	M				packages_tab		"16S rRNA, 18S rRNA, nif, amoA, rpo"
Agriculture	target_subfragment	M				packages_tab		"V6, V9, ITS"
Agriculture	temp	M				packages_tab		
Agriculture	texture	X				packages_tab		
Agriculture	texture_meth	X				packages_tab		
Agriculture	tillage	C				packages_tab		
Agriculture	tot_car	C				packages_tab		
Agriculture	tot_n_meth	C				packages_tab		
Agriculture	tot_nitro	C				packages_tab		
Agriculture	tot_org_c_meth	C				packages_tab		
Agriculture	tot_org_carb	C				packages_tab		
Agriculture	tot_phos	C				packages_tab		
Agriculture	trophic_level	C				packages_tab		
Agriculture	url	C				packages_tab		
Agriculture	water_ph	X				packages_tab		7.2
Agriculture	water_source_shared	X				packages_tab		no sharing
Agriculture	water_temp_regm	C				packages_tab		
Agriculture	watering_regm	C				packages_tab		
Air	air_particulate_matter_concentration	X				packages_tab		PM2.5;10 microgram per cubic meter
Air	alt	M				packages_tab		100 meter
Air	barometric_press	X				packages_tab		5 millibar
Air	carb_dioxide	X				packages_tab		410 parts per million
Air	carb_monoxide	X				packages_tab		0.1 parts per million
Air	chem_administration	X				packages_tab		agar [CHEBI:2509];2018-05-11T20:00Z
Air	elev	C				packages_tab		100 meter
Air	humidity	X				packages_tab		25 gram per cubic meter
Air	methane	X				packages_tab		1800 parts per billion
Air	misc_param	X				packages_tab		Bicarbonate ion concentration;2075 micromole per kilogram
Air	organism_count	X				packages_tab		total prokaryotes;3.5e7 cells per milliliter;qPCR
Air	oxy_stat_samp	X				packages_tab		aerobic
Air	oxygen	X				packages_tab		600 parts per million
Air	perturbation	X				packages_tab		antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M
Air	pollutants	X				packages_tab		lead;0.15 microgram per cubic meter
Air	project_name	M				packages_tab		Forest soil metagenome
Air	salinity	X				packages_tab		25 practical salinity unit
Air	samp_name	M				packages_tab		ISDsoil1
Air	samp_store_dur	X				packages_tab		P1Y6M
Air	samp_store_loc	X				packages_tab		Freezer no:5
Air	samp_store_temp	X				packages_tab		-80 degree Celsius
Air	samp_vol_we_dna_ext	X				packages_tab		1500 milliliter
Air	solar_irradiance	X				packages_tab		1.36 kilowatts per square meter per day
Air	temp	X				packages_tab		25 degree Celsius
Air	ventilation_rate	X				packages_tab		750 cubic meter per minute
Air	ventilation_type	X				packages_tab		Operable windows
Air	volatile_org_comp	X				packages_tab		formaldehyde;500 nanogram per liter
Air	wind_direction	X				packages_tab		Northwest
Air	wind_speed	X				packages_tab		21 kilometer per hour
BuiltEnvironment	abs_air_humidity	M				packages_tab		9 gram per gram
BuiltEnvironment	address	X				packages_tab		
BuiltEnvironment	adj_room	X				packages_tab		
BuiltEnvironment	aero_struc	X				packages_tab		plane
BuiltEnvironment	air_temp	M				packages_tab		20 degree Celsius
BuiltEnvironment	amount_light	X				packages_tab		
BuiltEnvironment	arch_struc	X				packages_tab		shed
BuiltEnvironment	avg_dew_point	X				packages_tab		25.5 degree Celsius
BuiltEnvironment	avg_occup	X				packages_tab		2
BuiltEnvironment	avg_temp	X				packages_tab		12.5 degree Celsius
BuiltEnvironment	bathroom_count	X				packages_tab		1
BuiltEnvironment	bedroom_count	X				packages_tab		2
BuiltEnvironment	build_docs	X				packages_tab		maintenance plans
BuiltEnvironment	build_occup_type	M				packages_tab		market
BuiltEnvironment	building_setting	M				packages_tab		rural
BuiltEnvironment	built_struc_age	X				packages_tab		15
BuiltEnvironment	built_struc_set	X				packages_tab		rural
BuiltEnvironment	built_struc_type	X				packages_tab		
BuiltEnvironment	carb_dioxide	M				packages_tab		410 parts per million
BuiltEnvironment	ceil_area	X				packages_tab		25 square meter
BuiltEnvironment	ceil_cond	X				packages_tab		damaged
BuiltEnvironment	ceil_finish_mat	X				packages_tab		stucco
BuiltEnvironment	ceil_struc	X				packages_tab		concrete
BuiltEnvironment	ceil_texture	X				packages_tab		popcorn
BuiltEnvironment	ceil_thermal_mass	X				packages_tab		
BuiltEnvironment	ceil_type	X				packages_tab		coffered
BuiltEnvironment	ceil_water_mold	X				packages_tab		presence of mold visible
BuiltEnvironment	cool_syst_id	X				packages_tab		12345
BuiltEnvironment	date_last_rain	X				packages_tab		2018-05-11:T14:30Z
BuiltEnvironment	dew_point	X				packages_tab		22 degree Celsius
BuiltEnvironment	door_comp_type	X				packages_tab		revolving
BuiltEnvironment	door_cond	X				packages_tab		new
BuiltEnvironment	door_direct	X				packages_tab		inward
BuiltEnvironment	door_loc	X				packages_tab		north
BuiltEnvironment	door_mat	X				packages_tab		wood
BuiltEnvironment	door_move	X				packages_tab		swinging
BuiltEnvironment	door_size	X				packages_tab		2.5 square meter
BuiltEnvironment	door_type	X				packages_tab		wooden
BuiltEnvironment	door_type_metal	X				packages_tab		hollow
BuiltEnvironment	door_type_wood	X				packages_tab		battened
BuiltEnvironment	door_water_mold	X				packages_tab		presence of mold visible
BuiltEnvironment	drawings	X				packages_tab		sketch
BuiltEnvironment	elevator	X				packages_tab		2
BuiltEnvironment	escalator	X				packages_tab		4
BuiltEnvironment	exp_duct	X				packages_tab		
BuiltEnvironment	exp_pipe	X				packages_tab		
BuiltEnvironment	ext_door	X				packages_tab		
BuiltEnvironment	ext_wall_orient	X				packages_tab		northwest
BuiltEnvironment	ext_window_orient	X				packages_tab		southwest
BuiltEnvironment	filter_type	M				packages_tab		HEPA
BuiltEnvironment	fireplace_type	X				packages_tab		wood burning
BuiltEnvironment	floor_age	X				packages_tab		
BuiltEnvironment	floor_area	X				packages_tab		
BuiltEnvironment	floor_cond	X				packages_tab		new
BuiltEnvironment	floor_count	X				packages_tab		
BuiltEnvironment	floor_finish_mat	X				packages_tab		carpet
BuiltEnvironment	floor_struc	X				packages_tab		concrete
BuiltEnvironment	floor_thermal_mass	X				packages_tab		
BuiltEnvironment	floor_water_mold	X				packages_tab		ceiling discoloration
BuiltEnvironment	freq_clean	X				packages_tab	#206	
BuiltEnvironment	freq_cook	X				packages_tab		
BuiltEnvironment	furniture	X				packages_tab		chair
BuiltEnvironment	gender_restroom	X				packages_tab		male
BuiltEnvironment	hall_count	X				packages_tab		
BuiltEnvironment	handidness	X				packages_tab		right handedness
BuiltEnvironment	heat_cool_type	M				packages_tab		heat pump
BuiltEnvironment	heat_deliv_loc	X				packages_tab		north
BuiltEnvironment	heat_sys_deliv_meth	X				packages_tab		radiant
BuiltEnvironment	heat_system_id	X				packages_tab		
BuiltEnvironment	height_carper_fiber	X				packages_tab		
BuiltEnvironment	indoor_space	M				packages_tab		foyer
BuiltEnvironment	indoor_surf	E				packages_tab		wall
BuiltEnvironment	inside_lux	X				packages_tab		
BuiltEnvironment	int_wall_cond	X				packages_tab		damaged
BuiltEnvironment	last_clean	X				packages_tab		2018-05-11:T14:30Z
BuiltEnvironment	light_type	M				packages_tab		desk lamp
BuiltEnvironment	max_occup	X				packages_tab		
BuiltEnvironment	mech_struc	X				packages_tab		elevator
BuiltEnvironment	number_pets	X				packages_tab		
BuiltEnvironment	number_plants	X				packages_tab		
BuiltEnvironment	number_resident	X				packages_tab		
BuiltEnvironment	occup_density_samp	M				packages_tab		
BuiltEnvironment	occup_document	X				packages_tab		estimate
BuiltEnvironment	occup_samp	M				packages_tab		10
BuiltEnvironment	organism_count	M				packages_tab		total prokaryotes;3.5e7 cells per milliliter;qPCR
BuiltEnvironment	pres_animal_insect	X				packages_tab		cat;5
BuiltEnvironment	project_name	M				packages_tab		Forest soil metagenome
BuiltEnvironment	quad_pos	X				packages_tab		West side
BuiltEnvironment	rel_air_humidity	M				packages_tab		80%
BuiltEnvironment	rel_humidity_out	X				packages_tab		12 per kilogram of air
BuiltEnvironment	rel_samp_loc	X				packages_tab		center of car
BuiltEnvironment	room_air_exch_rate	X				packages_tab		
BuiltEnvironment	room_architec_elem	X				packages_tab		
BuiltEnvironment	room_condt	X				packages_tab		new
BuiltEnvironment	room_connected	X				packages_tab		office
BuiltEnvironment	room_count	X				packages_tab		
BuiltEnvironment	room_dim	X				packages_tab		
BuiltEnvironment	room_door_dist	X				packages_tab		
BuiltEnvironment	room_door_share	X				packages_tab		
BuiltEnvironment	room_hallway	X				packages_tab		
BuiltEnvironment	room_loc	X				packages_tab		interior room
BuiltEnvironment	room_moist_dam_hist	X				packages_tab		
BuiltEnvironment	room_net_area	X				packages_tab		
BuiltEnvironment	room_occup	X				packages_tab		
BuiltEnvironment	room_samp_pos	X				packages_tab		south corner
BuiltEnvironment	room_type	X				packages_tab		bathroom
BuiltEnvironment	room_vol	X				packages_tab		
BuiltEnvironment	room_wall_share	X				packages_tab		
BuiltEnvironment	room_window_count	X				packages_tab		
BuiltEnvironment	samp_floor	X				packages_tab		4th floor
BuiltEnvironment	samp_name	M				packages_tab		ISDsoil1
BuiltEnvironment	samp_room_id	X				packages_tab		
BuiltEnvironment	samp_sort_meth	X				packages_tab		
BuiltEnvironment	samp_time_out	X				packages_tab		
BuiltEnvironment	samp_weather	X				packages_tab		foggy
BuiltEnvironment	season	X				packages_tab		autumn [NCIT:C94733]
BuiltEnvironment	season_use	X				packages_tab		Winter
BuiltEnvironment	shad_dev_water_mold	X				packages_tab		no presence of mold visible
BuiltEnvironment	shading_device_cond	X				packages_tab		new
BuiltEnvironment	shading_device_loc	X				packages_tab		exterior
BuiltEnvironment	shading_device_mat	X				packages_tab		
BuiltEnvironment	shading_device_type	X				packages_tab		slatted aluminum awning
BuiltEnvironment	space_typ_state	M				packages_tab		typically occupied
BuiltEnvironment	specific	X				packages_tab		construction
BuiltEnvironment	specific_humidity	X				packages_tab		15 per kilogram of air
BuiltEnvironment	substructure_type	X				packages_tab		basement
BuiltEnvironment	surf_air_cont	E				packages_tab		radon
BuiltEnvironment	surf_humidity	E				packages_tab		10%
BuiltEnvironment	surf_material	E				packages_tab		wood
BuiltEnvironment	surf_moisture	E				packages_tab		0.01 gram per square meter
BuiltEnvironment	surf_moisture_ph	E				packages_tab		7
BuiltEnvironment	surf_temp	E				packages_tab		15 degree Celsius
BuiltEnvironment	temp_out	X				packages_tab		5 degree Celsius
BuiltEnvironment	train_line	X				packages_tab		red
BuiltEnvironment	train_stat_loc	X				packages_tab		forest hills
BuiltEnvironment	train_stop_loc	X				packages_tab		end
BuiltEnvironment	typ_occup_density	M				packages_tab		25
BuiltEnvironment	ventilation_type	M				packages_tab		Operable windows
BuiltEnvironment	vis_media	X				packages_tab		3D scans
BuiltEnvironment	wall_area	X				packages_tab		
BuiltEnvironment	wall_const_type	X				packages_tab		fire resistive
BuiltEnvironment	wall_finish_mat	X				packages_tab		wood
BuiltEnvironment	wall_height	X				packages_tab		
BuiltEnvironment	wall_loc	X				packages_tab		north
BuiltEnvironment	wall_surf_treatment	X				packages_tab		paneling
BuiltEnvironment	wall_texture	X				packages_tab		popcorn
BuiltEnvironment	wall_thermal_mass	X				packages_tab		
BuiltEnvironment	wall_water_mold	X				packages_tab		no presence of mold visible
BuiltEnvironment	water_feat_size	X				packages_tab		
BuiltEnvironment	water_feat_type	X				packages_tab		stream
BuiltEnvironment	weekday	X				packages_tab		Sunday
BuiltEnvironment	window_cond	X				packages_tab		rupture
BuiltEnvironment	window_cover	X				packages_tab		curtains
BuiltEnvironment	window_horiz_pos	X				packages_tab		middle
BuiltEnvironment	window_loc	X				packages_tab		west
BuiltEnvironment	window_mat	X				packages_tab		wood
BuiltEnvironment	window_open_freq	X				packages_tab		
BuiltEnvironment	window_size	X				packages_tab		
BuiltEnvironment	window_status	X				packages_tab		open
BuiltEnvironment	window_type	X				packages_tab		fixed window
BuiltEnvironment	window_vert_pos	X				packages_tab		middle
BuiltEnvironment	window_water_mold	X				packages_tab		no presence of mold visible
FoodAnimalAndAnimalFeed	animal_am	X				packages_tab		tetracycline
FoodAnimalAndAnimalFeed	animal_am_dur	X				packages_tab		3 days
FoodAnimalAndAnimalFeed	animal_am_freq	X				packages_tab		once daily
FoodAnimalAndAnimalFeed	animal_am_route	X				packages_tab		oral-feed
FoodAnimalAndAnimalFeed	animal_am_use	X				packages_tab		shipping fever
FoodAnimalAndAnimalFeed	animal_body_cond	X				packages_tab		under conditioned
FoodAnimalAndAnimalFeed	animal_diet	X				packages_tab		Hay [FOODON:03301763]
FoodAnimalAndAnimalFeed	animal_feed_equip	X				packages_tab		self feeding [EOL:0001645]| straight feed trough [EOL:0001661]
FoodAnimalAndAnimalFeed	animal_group_size	X				packages_tab		80
FoodAnimalAndAnimalFeed	animal_housing	X				packages_tab		pen rearing system [EOL:0001636]
FoodAnimalAndAnimalFeed	animal_sex	X				packages_tab		castrated male
FoodAnimalAndAnimalFeed	bacterial_density	X				packages_tab		10 colony forming units per gram dry weight
FoodAnimalAndAnimalFeed	coll_site_geo_feat	M				packages_tab		grocery store [GENEPIO:0001020]
FoodAnimalAndAnimalFeed	collection_date	M				packages_tab		2018-05-11T10:00:00+01:00
FoodAnimalAndAnimalFeed	cons_food_stor_dur	X				packages_tab		P5D
FoodAnimalAndAnimalFeed	cons_food_stor_temp	X				packages_tab		4 degree Celsius
FoodAnimalAndAnimalFeed	cons_purch_date	X				packages_tab		11/30/19
FoodAnimalAndAnimalFeed	cons_qty_purchased	X				packages_tab		5 cans
FoodAnimalAndAnimalFeed	cult_isol_date	X				packages_tab		2018-05-11T10:00:00+01:00
FoodAnimalAndAnimalFeed	cult_result	X				packages_tab		positive
FoodAnimalAndAnimalFeed	cult_result_org	X				packages_tab		Listeria monocytogenes [NCIT:C86502]
FoodAnimalAndAnimalFeed	cult_target	X				packages_tab		Listeria monocytogenes [NCIT:C86502]
FoodAnimalAndAnimalFeed	enrichment_protocol	X				packages_tab		BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria
FoodAnimalAndAnimalFeed	env_broad_scale	M				packages_tab		forest biome [ENVO:01000174]
FoodAnimalAndAnimalFeed	env_local_scale	M				packages_tab		litter layer [ENVO:01000338]
FoodAnimalAndAnimalFeed	env_medium	M				packages_tab		soil [ENVO:00001998]
FoodAnimalAndAnimalFeed	experimental_factor	X				packages_tab		time series design [EFO:0001779]
FoodAnimalAndAnimalFeed	food_additive	X				packages_tab		xanthan gum [FOODON:03413321]
FoodAnimalAndAnimalFeed	food_contact_surf	X				packages_tab		cellulose acetate [FOODON:03500034]
FoodAnimalAndAnimalFeed	food_contain_wrap	X				packages_tab		Plastic shrink-pack [FOODON:03490137]
FoodAnimalAndAnimalFeed	food_cooking_proc	X				packages_tab		food blanching [FOODON:03470175]
FoodAnimalAndAnimalFeed	food_dis_point	X				packages_tab		"USA:Delmarva, Peninsula"
FoodAnimalAndAnimalFeed	food_dis_point_city	X				packages_tab		Atlanta[GAZ:00004445]
FoodAnimalAndAnimalFeed	food_ingredient	X				packages_tab		bean (whole) [FOODON:00002753]
FoodAnimalAndAnimalFeed	food_origin	M				packages_tab		"USA:Delmarva, Peninsula"
FoodAnimalAndAnimalFeed	food_pack_capacity	X				packages_tab		454 grams
FoodAnimalAndAnimalFeed	food_pack_integrity	X				packages_tab		food packing medium compromised [FOODON:00002517]
FoodAnimalAndAnimalFeed	food_pack_medium	X				packages_tab		packed in fruit juice [FOODON:03480039]
FoodAnimalAndAnimalFeed	food_preserv_proc	X				packages_tab		food slow freezing [FOODON:03470128]
FoodAnimalAndAnimalFeed	food_prior_contact	X				packages_tab		processed in stainless steel container [FOODON:03530081]
FoodAnimalAndAnimalFeed	food_prod	M				packages_tab		organic plant cultivation [FOODON:03530253]
FoodAnimalAndAnimalFeed	food_prod_synonym	X				packages_tab		pinot gris
FoodAnimalAndAnimalFeed	food_product_qual	X				packages_tab		raw [FOODON:03311126]
FoodAnimalAndAnimalFeed	food_product_type	M				packages_tab		"shrimp (peeled, deep-frozen) [FOODON:03317171]"
FoodAnimalAndAnimalFeed	food_quality_date	X				packages_tab		best by 2020-05-24
FoodAnimalAndAnimalFeed	food_source	X				packages_tab	#252	giant tiger prawn [FOODON:03412612]
FoodAnimalAndAnimalFeed	food_source_age	X				packages_tab		P6M
FoodAnimalAndAnimalFeed	food_trace_list	X				packages_tab		tropical tree fruits
FoodAnimalAndAnimalFeed	food_trav_mode	X				packages_tab		train travel [GENEPIO:0001060]
FoodAnimalAndAnimalFeed	food_trav_vehic	X				packages_tab		aircraft [ENVO:01001488]|car [ENVO:01000605]
FoodAnimalAndAnimalFeed	food_treat_proc	X				packages_tab		gluten removal process [FOODON:03460750]
FoodAnimalAndAnimalFeed	geo_loc_name	M				packages_tab		"USA: Maryland, Bethesda"
FoodAnimalAndAnimalFeed	haccp_term	X				packages_tab		tetrodotoxic poisoning [FOODON:03530249]
FoodAnimalAndAnimalFeed	ifsac_category	M				packages_tab		Plants:Produce:Vegetables:Herbs:Dried Herbs
FoodAnimalAndAnimalFeed	intended_consumer	M				packages_tab		9606 o rsenior as food consumer [FOODON:03510254] 
FoodAnimalAndAnimalFeed	lat_lon	M				packages_tab		50.586825 6.408977
FoodAnimalAndAnimalFeed	library_prep_kit	X				packages_tab		Illumina DNA Prep
FoodAnimalAndAnimalFeed	lot_number	X				packages_tab		"1239ABC01A, split Cornish hens"
FoodAnimalAndAnimalFeed	microb_cult_med	X				packages_tab		brain heart infusion agar [MICRO:0000566]
FoodAnimalAndAnimalFeed	misc_param	X				packages_tab		Bicarbonate ion concentration;2075 micromole per kilogram
FoodAnimalAndAnimalFeed	nucl_acid_ext	X				packages_tab		https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf
FoodAnimalAndAnimalFeed	organism_count	X				packages_tab		total prokaryotes;3.5e7 colony forming units per milliliter;qPCR
FoodAnimalAndAnimalFeed	part_plant_animal	X				packages_tab		chuck [FOODON:03530021]
FoodAnimalAndAnimalFeed	perturbation	X				packages_tab		antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M
FoodAnimalAndAnimalFeed	pool_dna_extracts	X				packages_tab		"yes, 5"
FoodAnimalAndAnimalFeed	project_name	M				packages_tab	 	Forest soil metagenome
FoodAnimalAndAnimalFeed	repository_name	X				packages_tab		FDA CFSAN Microbiology Laboratories
FoodAnimalAndAnimalFeed	samp_collect_device	X				packages_tab		"swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]"
FoodAnimalAndAnimalFeed	samp_collect_method	X				packages_tab		environmental swab sampling
FoodAnimalAndAnimalFeed	samp_name	M				packages_tab		ISDsoil1
FoodAnimalAndAnimalFeed	samp_pooling	X				packages_tab		5uL of extracted genomic DNA from 5 leaves were pooled
FoodAnimalAndAnimalFeed	samp_purpose	M				packages_tab		field trial
FoodAnimalAndAnimalFeed	samp_rep_biol	X				packages_tab		6 replicates
FoodAnimalAndAnimalFeed	samp_rep_tech	X				packages_tab		10 replicates
FoodAnimalAndAnimalFeed	samp_size	X				packages_tab		5 liters
FoodAnimalAndAnimalFeed	samp_source_mat_cat	X				packages_tab		environmental (swab or sampling) [GENEPIO:0001732]
FoodAnimalAndAnimalFeed	samp_stor_device	X				packages_tab		Whirl Pak sampling bag [GENEPIO:0002122]
FoodAnimalAndAnimalFeed	samp_stor_dur	X				packages_tab		P1Y6M
FoodAnimalAndAnimalFeed	samp_stor_loc	X				packages_tab		freezer 5
FoodAnimalAndAnimalFeed	samp_stor_media	X				packages_tab		peptone water medium [MICRO:0000548]
FoodAnimalAndAnimalFeed	samp_stor_temp	X				packages_tab		-80 degree Celsius
FoodAnimalAndAnimalFeed	samp_transport_cont	X				packages_tab		cooler
FoodAnimalAndAnimalFeed	samp_transport_cont	X				packages_tab		cooler
FoodAnimalAndAnimalFeed	samp_transport_dur	X				packages_tab		P10D
FoodAnimalAndAnimalFeed	samp_transport_temp	X				packages_tab		4 degree Celsius
FoodAnimalAndAnimalFeed	samp_vol_we_dna_ext	X				packages_tab		1500 milliliter
FoodAnimalAndAnimalFeed	seq_meth	M				packages_tab		454 Genome Sequencer FLX [OBI:0000702]
FoodAnimalAndAnimalFeed	sequencing_kit	X				packages_tab		NextSeq 500/550 High Output Kit v2.5 (75 Cycles)
FoodAnimalAndAnimalFeed	sequencing_location	X				packages_tab		University of Maryland Genomics Resource Center
FoodAnimalAndAnimalFeed	serovar_or_serotype	X				packages_tab		Escherichia coli strain O157:H7 [NCIT:C86883]
